playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DX4UkKv8ED8jp,2009,1kxeWHF9PrCVZHvVskv8lg,Love Lockdown,66,808s & Heartbreak,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"['chicago rap', 'hip hop', 'rap']",94,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,270307,4
https://open.spotify.com/playlist/37i9dQZF1DX3Sp0P28SIer,2013,2E43WFS4rRc09za2r2GmZl,My Songs Know What You Did In The Dark (Light Em Up),77,Save Rock And Roll,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,"['emo', 'modern rock', 'pop', 'rock']",80,0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99,186827,4
https://open.spotify.com/playlist/37i9dQZF1DWTWdbR13PQYH,2004,48EQasc6XD0pOQtkIOWqOC,Locked Up,68,Trouble Deluxe Edition,0z4gvV4rjIZ9wHck67ucSV,Akon,['dance pop'],81,0.833,0.568,7,-4.312,1,0.0847,0.0262,0.0,0.11,0.369,89.958,235067,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,79,31 Minutes to Takeoff,2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']",70,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,213293,4
https://open.spotify.com/playlist/37i9dQZF1DWWzQTBs5BHX9,2005,4wLZ4zPM9c4oe1VV8ejdWV,Home,62,It's Time,1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",74,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,225907,4
https://open.spotify.com/playlist/37i9dQZF1DX1vSJnMeoy3V,2006,5ClXLJW6OLZuTLCwhmX9h9,From Paris to Berlin,57,From Paris to Berlin,2nnBn2iyqkuOBj85nhGp1k,Infernal,['eurodance'],46,0.741,0.869,9,-6.534,0,0.0816,0.096,0.0,0.0396,0.839,126.069,209667,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",66,Survivor,1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",72,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,7hR5toSPEgwFZ78jfHdANM,Half of My Heart,65,Battle Studies,0hEurMDQu99nJRq8pTxO14,John Mayer,"['neo mellow', 'singer-songwriter']",77,0.681,0.593,5,-9.327,1,0.0251,0.435,0.000117,0.106,0.731,115.058,250373,4
https://open.spotify.com/playlist/37i9dQZF1DX0P7PzzKwEKl,2002,6W2Ef5Ph6ILTUAedoQ3QIv,Like I Love You,63,Justified,31TPClRtHm23RisEBtV3X7,Justin Timberlake,"['dance pop', 'pop']",83,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,283627,4
https://open.spotify.com/playlist/37i9dQZF1DX0yEZaMOXna3,2012,2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,69,California 37,3FUY2gzHeIiaesXtOAdB7A,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",74,0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,247947,4
